State ,Region,Year,CP,CP Code,Core/Supp,Units,Forest,Grassland,Cropland,CP Coverage,FY-Year,Financial Assistance Requested,FIN Summed by Year,FinSum: Framework Goals,NOBO TAGS,Agroforestry Economics,Aspirational Goals,ASP-Year,Landscape Type: A;;
Alabama,Southeast,2022,106,Forest Management Plan - Written,,Plan: Written,Forest Lands,(not grassland),((not cropland)),0,FA-2022,0,"$200,000.00",200000,0,0,0,asp 2022,Forest Land
Alabama,Southeast,2022,107,Forest Management Plan - Applied,,Plan: Applied,Forest Lands,(not grassland),((not cropland)),0,FA-2022,0,,,0,0,0,asp 2022,Forest Land
Alabama,Southeast,2022,110,Grazing Management Plan - Written,,Plan: Written,(not forest),Grasslands,((not cropland)),0,FA-2022,0,,,0,0,0,asp 2022,Grassland
Alabama,Southeast,2022,111,Grazing Management Plan - Applied,,Plan: Applied,(not forest),Grasslands,((not cropland)),0,FA-2022,0,,,0,0,0,asp 2022,Grassland
Alabama,Southeast,2022,112,Prescribed Burning Plan - Written,,Plan: Written,Forest Lands,Grasslands,((not cropland)),0,FA-2022,0,,,0,0,2,asp 2022,Forest Land + Grassland
Alabama,Southeast,2022,113,Prescribed Burning Plan - Applied,,Plan: Applied,Forest Lands,Grasslands,((not cropland)),0,FA-2022,0,,,0,0,0,asp 2022,Forest Land + Grassland
Alabama,Southeast,2022,114,Integrated Pest Management Plan - Written,,Plan: Written,Forest Lands,Grasslands,Croplands,0,FA-2022,0,,,0,0,0,asp 2022,Forest Land + Grassland + Cropland
Alabama,Southeast,2022,115,Integrated Pest Management Plan - Applied,,Plan: Applied,Forest Lands,Grasslands,Croplands,0,FA-2022,0,,,0,0,0,asp 2022,Forest Land + Grassland + Cropland
Alabama,Southeast,2022,142,Fish and Wildlife Habitat Plan - Written,,Plan: Written,Forest Lands,Grasslands,Croplands,0,FA-2022,0,,,0,0,2,asp 2022,Forest Land + Grassland + Cropland
Alabama,Southeast,2022,143,Fish and Wildlife Habitat Plan - Applied,,Plan: Applied,Forest Lands,Grasslands,Croplands,0,FA-2022,0,,,0,0,0,asp 2022,Forest Land + Grassland + Cropland
Alabama,Southeast,2022,146,Pollinator Habitat Plan - Written,,Plan: Written,Forest Lands,Grasslands,Croplands,0,FA-2022,0,,,0,0,2,asp 2022,Forest Land + Grassland + Cropland
Alabama,Southeast,2022,147,Pollinator Habitat Plan - Applied,,Plan: Applied,Forest Lands,Grasslands,Croplands,0,FA-2022,0,,,0,0,0,asp 2022,Forest Land + Grassland + Cropland
Alabama,Southeast,2022,329,No Till ,Core,Acres,(not forest),(not grassland),Croplands,0,FA-2022,0,,,0,0,0,asp 2022,Cropland
Alabama,Southeast,2022,345,Reduced Tillage ,Core,Acres,(not forest),(not grassland),Croplands,0,FA-2022,0,,,0,0,0,asp 2022,Cropland
Arkansas,Southeast,2022,107,Forest Management Plan - Applied,,Plan: Applied,Forest Lands,(not grassland),((not cropland)),0,FA-2022,0,,,0,0,0,asp 2022,Forest Land
Arkansas,Southeast,2022,111,Grazing Management Plan - Applied,,Plan: Applied,(not forest),Grasslands,((not cropland)),0,FA-2022,0,,,0,0,0,asp 2022,Grassland
