STATE,REGION,TOP3CORE,REQFIN_PRO,REQFIN_ADD,REQFIN_FRAME,ACRE_PRO_CORE,ACRE_ADD_CORE,ACRE_FRAME_CORE,ACRE_PRO_SUPP,ACRE_ADD_SUPP,ACRE_FRAME_SUPP,ACRE_PRO_CAS,ACRE_ADD_CAS,ACRE_FRAME_CAS,FT_PRO_CORE,FT_ADD_CORE,FT_FRAME_CORE,FT_PRO_SUPP,FT_ADD_SUPP,FT_FRAME_SUPP,FT_PRO_CAS,FT_ADD_CAS,FT_FRAME_CAS,X_PRO,X_ADD,X_FRAME,APPLIED_PRO,APPLIED_ADD,APPLIED_FRAME,WRITTEN_PRO,WRITTEN_ADD,WRITTEN_FRAME
Alabama,Southeast,"Prescribed Burning, Forest Stand Improvement, Hedgerow Planting","$1,650,000.00 ","$1,650,000.00 ","3,300,000","23,180","23,180","46,360",691,691,"1,382","23,871","23,871","47,742",950,950,"1,900","1,500,000","1,500,000","3,000,000","1,500,950","1,500,950","3,001,900", -   , -   , -   , -   , -   , -   , -   ,81,81
Arkansas,Southeast,"Prescribed Burning, Forest Stand Improvement, Hedgerow Planting","$13,000,000.00 ","$50,000,000.00 ","63,000,000","72,125", -   ,"72,125","6,150", -   ,"6,150","78,275", -   ,"78,275","15,000", -   ,"15,000","2,325,000", -   ,"2,325,000","2,340,000", -   ,"2,340,000",150, -   ,150, -   , -   , -   ,25, -   ,25
Delaware,Northeast,"Hedgerow Planting, Windbreak/Shelterbelt Establishment, Early Successional Habitat Management","$150,000.00 ", $-   ,"150,000",252, -   ,252,216, -   ,216,468, -   ,468,"25,000", -   ,"25,000", -   , -   , -   ,"25,000", -   ,"25,000", -   , -   , -   , -   , -   , -   , -   , -   , -   
Florida,Southeast,"Prescribed Burning, Tree/Shrub Establishment, Forest Stand Improvement","$1,000,000.00 ","$3,360,000.00 ","4,360,000","23,896","35,784","59,680","5,680","14,896","20,576","29,576","50,680","80,256", -   , -   , -   ,"626,700","857,400","1,484,100","626,700","857,400","1,484,100",28,52,80, -   , -   , -   ,12,24,36
Georgia,Southeast,"Prescribed Burning, Forest Stand Improvement, Wildlife Habitat Planting","$1,900,000.00 ", $-   ,"1,900,000","13,500", -   ,"13,500","3,775", -   ,"3,775","17,275", -   ,"17,275", -   , -   , -   ,"10,000", -   ,"10,000","10,000", -   ,"10,000", -   , -   , -   ,50, -   ,50,50, -   ,50
Illinois,Central,"Wildlife Habitat Planting, Prescribed Grazing, Prescribed Burning","$750,000.00 ","$500,000.00 ","1,250,000","3,300","5,850","9,150","2,775","4,325","7,100","6,075","10,175","16,250", -   , -   , -   ,"50,000","100,000","150,000","50,000","100,000","150,000",10,50,60, -   , -   , -   , -   , -   , -   
Indiana,Central,"Hedgerow Planting, Wildlife Habitat Planting, Forest Stand Improvement","$2,852,750.00 ","$870,500.00 ","3,723,250","2,386",525,"2,911","4,475",620,"5,095","6,861","1,145","8,006","7,200",800,"8,000", -   , -   , -   ,"7,200",800,"8,000",13,10,23, -   , -   , -   , -   , -   , -   
Iowa,Central,"Prescribed Grazing, Prescribed Burning, Forest Stand Improvement","$166,250.00 ","$83,125.00 ","249,375","1,240",620,"1,860",510,250,760,"1,750",870,"2,620",60,30,90,"1,550",775,"2,325","1,610",805,"2,415",30,15,45, -   , -   , -   ,10, -   ,10
Kansas,Central,"Prescribed Grazing, Range Planting, Range Planting","$1,497,000.00 ","$1,095,000.00 ","2,592,000","20,374","203,740","224,114","1,904","19,040","20,944","22,278","222,780","245,058", -   , -   , -   ,"52,000","520,000","572,000","52,000","520,000","572,000",23,"1,760","1,783", -   , -   , -   , -   , -   , -   
Kentucky,Southeast,"Prescribed Grazing, No Till , Early Successional Habitat Management","$1,800,000.00 ","$2,160,000.00 ","3,960,000","5,550","8,075","13,625","4,145","5,263","9,408","9,695","13,338","23,033", -   , -   , -   ,"158,600","215,500","374,100","158,600","215,500","374,100",157,199,356, -   , -   , -   ,25,35,60
Louisiana,Southeast,"Reduced Tillage , Prescribed Burning, Prescribed Grazing","$34,971,905.92 ","$978,595.00 ","35,950,501","25,545","2,915","28,460","4,845",862,"5,707","30,390","3,777","34,167",0,0,0,"545,000","29,500","574,500","545,000","29,500","574,500",104,39,143,5,0,5,16,5,21
Maryland,Northeast,"Hedgerow Planting, Forest Stand Improvement, Wildlife Habitat Planting","$1,000,000.00 ", $-   ,"1,000,000",875, -   ,875,625, -   ,625,"1,500", -   ,"1,500","10,000", -   ,"10,000", -   , -   , -   ,"10,000", -   ,"10,000", -   , -   , -   , -   , -   , -   ,10, -   ,10
Minnesota,Central,"No Till , Reduced Tillage , Prescribed Grazing","$1,600,000.00 ","$9,245,000.00 ","10,845,000","21,500","187,500","209,000","4,825","40,100","44,925","26,325","227,600","253,925", -   , -   , -   ,"310,000","1,750,000","2,060,000","310,000","1,750,000","2,060,000",85,400,485, -   , -   , -   , -   , -   , -   
Mississippi,Southeast,"Prescribed Burning, Forest Stand Improvement, Tree/Shrub Establishment","$15,000,000.00 ","$50,000,000.00 ","65,000,000","84,790","284,675","369,465","3,805","6,170","9,975","88,595","290,845","379,440", -   , -   , -   ,"500,000","5,000,000","5,500,000","500,000","5,000,000","5,500,000",10,20,30, -   , -   , -   ,210,680,890
Missouri,Central,"Wildlife Habitat Planting, Prescribed Grazing, Forage and Biomass Planting","$7,600,000.00 ","$2,875,000.00 ","10,475,000","11,715","5,000","16,715","2,840","1,075","3,915","14,555","6,075","20,630", -   , -   , -   ,"90,000","52,500","142,500","90,000","52,500","142,500","1,575",450,"2,025", -   , -   , -   , -   , -   , -   
Nebraska,Central,"Cover Crop, Prescribed Burning, Forage and Biomass Planting","$76,000.00 ", $-   ,"76,000",325, -   ,325,625, -   ,625,950, -   ,950, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
New Jersey,Northeast,"Forest Stand Improvement, Prescribed Burning, Wildlife Habitat Planting","$500,000.00 ","$250,000.00 ","750,000","7,532","5,250","12,782",844,475,"1,319","8,376","5,725","14,101", -   , -   , -   ,"2,000","5,000","7,000","2,000","5,000","7,000", -   , -   , -   ,31,47,78,33,51,84
North Carolina,Southeast,"Prescribed Burning, No Till , Prescribed Grazing","$6,594,000.00 ","$1,370,000.00 ","7,964,000","39,193","6,320","45,513","4,917",800,"5,717","44,110","7,120","51,230", -   , -   , -   ,"1,620,100","75,000","1,695,100","1,620,100","75,000","1,695,100",591,65,656,20,36,56,15,41,56
Ohio,Northeast,"Forage and Biomass Planting, Prescribed Grazing, Wildlife Habitat Planting","$500,000.00 ","$500,000.00 ","1,000,000","2,450","2,730","5,180","1,000","1,225","2,225","3,450","3,955","7,405", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7,5,12
South Carolina,Southeast,"Prescribed Burning, Forest Stand Improvement, Tree/Shrub Establishment","$2,600,000.00 ","$2,000,000.00 ","4,600,000","26,400","19,350","45,750","4,535","3,275","7,810","30,935","22,625","53,560","5,000", -   ,"5,000","755,000","750,000","1,505,000","760,000","750,000","1,510,000",500,500,"1,000",365,225,590,365,225,590
Tennessee,Southeast,"Hedgerow Planting, Early Successional Habitat Management, Prescribed Burning","$1,239,000.00 ","$2,517,000.00 ","3,756,000","3,380","6,400","9,780","2,210","3,925","6,135","5,590","10,325","15,915",500,"2,500","3,000","123,000","137,000","260,000","123,500","139,500","263,000",130,202,332, -   , -   , -   ,50,125,175
Texas,Central,"Prescribed Grazing, Forage and Biomass Planting, Reduced Tillage ","$71,814,586.00 ","$301,531,860.00 ","373,346,446","642,174","2,207,019","2,849,193","453,864","1,743,208","2,197,072","1,096,038","3,950,227","5,046,265", -   , -   , -   ,"7,235,035","25,865,873","33,100,908","7,235,035","25,865,873","33,100,908","48,870","49,545","98,415", -   , -   , -   , -   , -   , -   
Virginia,Southeast,"Forest Stand Improvement, Prescribed Grazing, Prescribed Burning","$2,850,000.00 ", $-   ,"2,850,000","18,015", -   ,"18,015","18,440", -   ,"18,440","36,455", -   ,"36,455", -   , -   , -   ,"663,250", -   ,"663,250","663,250", -   ,"663,250",63, -   ,63, -   , -   , -   ,50, -   ,50
West Virginia,Northeast,"Early Successional Habitat Management, Wildlife Habitat Planting, Tree/Shrub Establishment","$165,000.00 ","$330,000.00 ","495,000",238,475,713,"3,765","7,680","11,445","4,003","8,155","12,158", -   , -   , -   ,"37,500","75,000","112,500","37,500","75,000","112,500", -   , -   , -   , -   , -   , -   , -   , -   , -   
